


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
82,,PMGSY-I,BALTHI - JOGIA,BR-21R-239,Madhubani,Madhepur,1.058,0,,0.358,,0.000,0,0.358,0,0.00,0.00,0.00,-
83,,PMGSY-I,L080-T05 TO HATHIYARWA TOLE (TRACK80),BR21R475,Madhubani,Benipatti,1.476,0.4,,0.4,,0.400,0,0,0,0.00,0.00,0.00,-
84,,PMGSY-I,L034-T02 to BRAHMAN TOLA (VR34) ,BR21R666,Madhubani,Kaluahi,2.208,1.708,,1.708,,1.708,0,0,0,0.00,0.00,0.00,-
85,,PMGSY-I,Janadh to Naya Gaon,BR2303,Muzaffarpur,Aurai,4.7,4.7,,4.7,,4.700,0,0,0,0.00,0.00,0.00,-
86,,PMGSY-I,T01-Bagani To Lakhanpur Road (ODR1) ,BR23R454,Muzaffarpur,Katra,2.124,0.524,,2.124,,0.524,0,1.6,0,0.00,0.00,0.00,PENDING FOR LEGAL CASES
87,,PMGSY-I,L037-L040 TO Nawaji Bighha (VR24) ,BR24R274,Nalanda,Bihar Sharif,0.9,0.9,,0.9,,0.900,0,0,0,0.00,0.00,0.00,-
88,,PMGSY-I,KHAKHANDUA - OBHAIYA,BR-25R-060,Nawada,Govindpur,3.1,3.1,,3.1,,3.100,0,0,0,0.00,0.00,0.00,-
89,,PMGSY-I,L073-KAHUARA TO MAYABIGHA (TRACK53) ,BR25R602,Nawada,Nardiganj,1.12,0.62,,0.62,,0.620,0,0,0,0.00,0.00,0.00,-
90,,PMGSY-I,L022-NH 31 TO SILLIDIBOUR (TRACK22) ,BR25R639,Nawada,Rajauli,1.298,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
91,,PMGSY-I,L092-DELMA TO CHORDIHA (TRACK92) ,BR25R640,Nawada,Rajauli,13.751,0.951,,0.951,,0.951,0,0,0,0.00,0.00,0.00,-
92,,PMGSY-I,Link Roads of Arwal - Jahanabad Road,BR2672,Patna,Paliganj,2.93,2.93,,0,,0.000,0,0,0,0.00,0.00,0.00,-
93,,PMGSY-I,Akbar Pur - Bola Village,BR2681,Patna,Paliganj,4.95,4.95,,0,,0.000,0,0,0,0.00,0.00,0.00,-
94,,PMGSY-I,TARAI - SALARPUR,BR-26R-095,Patna,Naubatpur,9.09,3.726,,3.726,,3.726,0,0,0,0.00,0.00,0.00,-
95,,PMGSY-I,LAXMIPUR - KUMRAHA,BR-26R-199,Patna,Ghoswari,7.088,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
96,,PMGSY-I,Agarkuan  - Kothia Road Via Mohamadpur,BR26153,Patna,Patna Sadar,3.3,3.3,,0,,0.000,0,0,0,0.00,0.00,0.00,-
97,,PMGSY-I,L045 - Parsarai to Kochka (VR45),BR27R261,Purnia,Amaur,2.854,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
98,,PMGSY-I,L039 - Apprch Rd. L038 to Dumari (VR39),BR27R262,Purnia,Amaur,2.397,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
99,,PMGSY-I,L078 - MALA SAKERBALIYA PATH TO HARINTOR PASHCHIM (VR78),BR27R266,Purnia,Baisi,1.186,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
100,,PMGSY-I,L096 - BAISI BAZAR FUTANI CHOUK TO MARWA (VR96),BR27R273,Purnia,Baisi,8.332,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
101,,PMGSY-I,L059-Apprch Rd. L024 to Bavandov (VR59) ,BR27R369,Purnia,Amaur,1.4,0.7,,0.7,,0.700,0,0,0,0.00,0.00,0.00,-
102,,PMGSY-I,Sasaram- Chausa Road - Barhari,BR2889,Rohtas,Kchas,9.83,9.83,,0,,0.000,0,0,0,0.00,0.00,0.00,-
103,,PMGSY-I,Natwar Buxar Canal Road  -  Doamdiha,BR-28R-050,Rohtas,Dinara,1.366,1.046,,1.046,,1.046,0,0,0,0.00,0.00,0.00,-
104,,PMGSY-I,T01 - Devka to Baruahi (TRACK1),BR29R191,Saharsa,Nauhatta,24.657,12.657,,12.657,,12.657,0,0,0,0.00,0.00,0.00,-
105,,PMGSY-I,MDR - Laxhminia,BR-30R-106,Samastipur,Bithan,6.626,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
106,,PMGSY-I,Mohiuddinagar - Hazaratpur,BR-30R-149,Samastipur,Mohiuddinnagar,5.023,5.023,,5.023,,5.023,0,0,0,0.00,0.00,0.00,-
107,,PMGSY-I,L045-Mahamdipur to Mastalipur (VR45),BR-30R-292,Samastipur,Mohiuddinnagar,4.098,4.098,,4.098,,4.098,0,0,0,0.00,0.00,0.00,-
108,,PMGSY-I,L057-T03 To Deora (VR57) ,BR30R555,Samastipur,Hasanpur,1.115,1.115,,1.115,,1.115,0,0,0,0.00,0.00,0.00,-
109,,PMGSY-I,L082-T03  to Kanua Kothi Via Baghmati River (VR82) ,BR30R556,Samastipur,Hasanpur,1.475,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
110,,PMGSY-I,Shekhpura Shahpur to Mianbigha Road,BR3101,Sheikhpura,Barbigha,1.2,1.2,,1.2,,1.200,0,0,0,0.00,0.00,0.00,-
